Name,Created_At,Plant_Tag,Latitude,Longitude,Notes,Photo,Url,embed,video
Premna tomemtosa,"8th Mar, 2021",4,13.383313,77.208523,ಈಜೆ ಮರ. Rub on inside of mudpots to make water fragrant,images/devarayanadurga-bio-diversity.jpeg,https://anthillhacks.pantoto.net/,,
Seme carpurs anacardium,"8th Mar, 2021",3,13.383804,77.208172,ಕಾಡು ಗೇರು marking nut or dhobi nut,images/devarayanadurga-bio-diversity2.jpeg,,,
Albizia Lebbek,"8th Mar, 2021",2,13.383838,77.207825,ಬಾಗೆ mother-in-law's tounge,iamges/devarayanadurga-bio-diversity3.jpeg,,,
Firmiana colorata,"8th Mar, 2021",1,13.383502,77.207476,"Bonfire tree, ಬಿಳಿ ಸುಲಿಗೆ",images/devarayanadurga-bio-diversity4.jpeg,,,
Anterras,18-26 July 2015,,13.37137467,77.20543385,Anterras - The location of Anthillhacks,,,,
Yatri Nivas,13-14 Aug 2016,,13.37189657,77.20541239,Yatri Nivas - Govt. provisioned stay for visitors,images/2015-07-21_08-41-24.jpg,,,
Yoga Narasimha Temple,19-20 Nov 2018,,13.37888991,77.21338391,The temple on top of the hill,images/2015-07-21_09-57-18.jpg,,itb_janastu/LIC Temple.html,
Bhoga Narasimha Temple,7-20 Dec 2019,,13.37338397,77.2072953,Bhoga Narasimha Temple,images/IMG_20191209_135300.jpg,,,
JeebeeAmma Temple,,,13.37159909,77.20854521,Temple near ooraBagilu,images/2015-07-22_16-14-17.jpg,,,
Durgadahalli,,,13.38811663,77.20011234,Village in the valley of Devarayanadurga,,,,videos/20190604_101938.mp4
Halekote,,,13.38327369,77.20401764,Hamlet in the valley of Devarayanadurga,images/20140517_174431.jpg,,,
Travellers Bungalow,,,13.3750436,77.2063297,Old Travellers Bungalow from the British Era,images/IMG_20191212_122923.jpg,,itb_janastu/LIC Entrance.html,http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4
Kalyani,,,13.37065771,77.20942631,Image of Artists Performing at the Kalyani during Anthillhacks 2015,images/2015-07-25_13-11-05.jpg,,,
Crafter Space,,,13.38476624,77.20273018,Crafter Space is a rural maker space lab for crafts and arts,images/Did_you_know_background@2x.png;images/1.jpg,,crafts.janastu.org,
IruWay - Antz Farm,,,13.38249088,77.20564842,IruWay is a collectively owned farm that aspires to be an inclusive laboratory of holistic technology exploration.,images/img18.jpg,iruway.janastu.org,,http://commondatastorage.googleapis.com/gtv-videos-bucket/sample/BigBuckBunny.mp4
